1400500930.42436	legLF3	93.49366
1400500930.4244	legLH1	1.689137
1400500930.42444	legLH2	46.98942
1400500930.42447	legLH3	126.0455
1400500930.42452	headTilt	-9.310279
1400500930.42459	headPan	-17.53457
1400500930.42462	tailPan	59.99998
1400500930.42466	tailTilt	58.43082
1400500930.4247	mouth	-2.94191
1400500930.4331	legRF1	133.7218
1400500930.43315	legRF2	43.07366
1400500930.43319	legRF3	123.7234
1400500930.43322	legRH1	-25.52441
1400500930.43326	legRH2	69.50523
1400500930.43329	legRH3	123.4854
1400500930.43333	legLF1	99.27532
1400500930.43336	legLF2	70.15789
1400500930.4334	legLF3	93.49366
1400500930.43349	legLH1	0.6756319
1400500930.43352	legLH2	46.98942
1400500930.43356	legLH3	126.0455
1400500930.4336	headTilt	-9.310279
1400500930.43363	headPan	-17.75654
1400500930.43366	tailPan	59.99998
1400500930.4337	tailTilt	58.7766
1400500930.43373	mouth	-2.696741
1400500930.45819	legRF1	133.7218
1400500930.48455	legRF2	43.07366
1400500930.4846	legRF3	123.7234
1400500930.48464	legRH1	-25.87409
1400500930.48468	legRH2	69.50523
1400500930.48471	legRH3	123.4854
1400500930.48475	legLF1	99.27532
1400500930.48478	legLF2	70.15789
1400500930.48482	legLF3	93.49366
1400500930.48491	legLH1	1.689137
1400500930.48495	legLH2	46.98942
1400500930.48498	legLH3	126.0455
1400500930.48503	headTilt	-9.310279
1400500930.48506	headPan	-17.53457
1400500930.4851	tailPan	59.99998
1400500930.48513	tailTilt	58.7766
1400500930.48517	mouth	-2.696741
1400500930.49363	legRF1	133.7218
1400500930.49368	legRF2	43.07366
1400500930.49372	legRF3	124.0511
1400500930.49375	legRH1	-25.1748
1400500930.49379	legRH2	69.50523
1400500930.49382	legRH3	123.4854
1400500930.49386	legLF1	99.58329
1400500930.49389	legLF2	70.15789
1400500930.49393	legLF3	93.49366
1400500930.49401	legLH1	1.351321
1400500930.49405	legLH2	46.98942
1400500930.49408	legLH3	126.0455
1400500930.49412	headTilt	-9.310279
1400500930.49416	headPan	-17.75654
1400500930.49419	tailPan	59.99998
1400500930.49422	tailTilt	58.7766
1400500930.49426	mouth	-2.696741
1400500930.51703	legRF1	133.4022
1400500930.52492	legRF2	43.07366
1400500930.52494	legRF3	123.7234
1400500930.52495	legRH1	-25.87409
1400500930.52497	legRH2	69.50523
1400500930.52498	legRH3	123.4854
1400500930.525	legLF1	99.58329
1400500930.52501	legLF2	70.15789
1400500930.52502	legLF3	93.49366
1400500930.52504	legLH1	1.689137
1400500930.52505	legLH2	46.98942
1400500930.52506	legLH3	126.0455
1400500930.52508	headTilt	-9.999948
1400500930.52509	headPan	-17.75654
1400500930.52511	tailPan	59.99998
1400500930.52512	tailTilt	58.43082
1400500930.52514	mouth	-2.696741
1400500930.54728	legRF1	133.7218
